phys-org	Study reveals pupils most at risk of school suspension and what may help them
phys-org	Deadly floods of 2021—Researchers identify gaps in hazard mapping
phys-org	Researchers tune into Arctic under-ice sounds and test through-ice communication
phys-org	A new type of LED light could bring significant efficiency gains
phys-org	In ant nervous systems, gene expression may drive rescue behavior
phys-org	Magic-angle graphene provides evidence for unconventional superconductivity
phys-org	New AI tool maps the hidden universe of small molecules
phys-org	Shoreline scavenger shows biological effects after eating plastic foam
phys-org	Do games make children more attentive or more distractible?
phys-org	Periodical cicadas may be doomed to extinction
phys-org	AI helps reveal the immersive sensory experiences of ancient Etruscan tombs
phys-org	Before mixing starts, initial catalyst structure governs fuel-cell ink dispersion
phys-org	Evidence-based approach shows de-escalation is a learnable police skill
phys-org	How Mercury formed its graphite crust and core
phys-org	El Niño set to bring warmer spring to NZ and Australia
phys-org	Embedded platinum channels bring nanoscale spin-based thermoelectric conversion to bulk materials
phys-org	Food and water stations for wild birds are contributing to spread of deadly diseases, study finds
phys-org	Students with lower grades earn degrees more often when they belong to an academic major's majority group
phys-org	Same-sex marriages surged before Bolsonaro took office, Brazil data reveal
phys-org	Virus-like particles enable gene activity tracking over time in the same cells
phys-org	Sound waves and water droplets transform paper waste into higher-value chemical compound
phys-org	Underlying mechanism of Atg2-mediated lipid transfer in autophagy identified
phys-org	Particle shape and size predict asteroid strength, revealing Bennu's surface is 50 times weaker than ground coffee
phys-org	From pets to zoos: How students perceive animal husbandry
phys-org	Want a solution to plastic pollution? Scientists urge UN to require global reporting
phys-org	Archaea as 'flexitarians': Ammonia-oxidizing microbes also feed on amino acids
phys-org	Mixed grazing, controlled burns and collaboration can curb Mediterranean wildfire risks
phys-org	Turbulent times for star formation in Stephan's Quintet
phys-org	Mosque workshops help Muslim women discuss reproductive health in NSW
phys-org	'Hidden order in disorder' makes nanodevices easier to design
science-daily	A longer exhale may push your brain toward bolder decisions
science-daily	Giant Greenland iceberg slams into Joe Island and survives
science-daily	Dark matter detector finds a strange signal scientists can’t yet explain
science-daily	Scientists reveal the hidden instructions that build the human brain
science-daily	NASA scientists discover a giant 10-sided pattern on Saturn
science-daily	Scientists discover a bizarre “devil flower” hidden in Thailand
science-daily	Stanford scientists discover a seafood that can reverse signs of aging
science-daily	Ancient “living fossils” may reveal how complex life began
science-daily	New injectable treatment helps the brain rebuild after stroke
science-daily	Scientists overturn a theory about this shark’s strange head
science-daily	September brings a dazzling Venus and a glowing Harvest Moon
science-daily	Extreme drought now covers 44% of Puerto Rico
science-daily	New Mexico’s largest reservoir plunges to just 1.4% full
science-daily	The universe has plenty of hydrogen. So why is star formation collapsing?
science-daily	Too much coffee may weaken bones, study finds
science-daily	Each extra hour of prolonged sitting linked to 9% higher cancer death risk
science-daily	Harvard scientists turn knitting into shape-shifting smart fabric
science-daily	Deep beneath Mars, scientists find a vast hidden magma system
science-daily	MIT turns bacteria into living transistors
science-daily	Earth may have lost the Sun’s protective shield millions of years ago
science-daily	“Broken heart syndrome” can look just like a heart attack. This test can tell them apart
science-daily	Scientists discover why snake embryos twist into spirals
science-daily	Mindfulness may lower blood pressure in just 8 weeks
science-daily	Plants may be evolving the wrong traits for a warming world
science-daily	One immune switch may help drive aging across the body
science-daily	Bats carry dangerous viruses without getting sick. This may be why
science-daily	One of Earth’s driest places was just covered in snow
science-daily	NASA delays Crew-13 launch after leak found on SpaceX Dragon
science-daily	NASA’s Swift telescope is back, but time is running out
science-daily	Scientists just overturned a century-old physics assumption
science-daily	Dying radio galaxies fade faster than scientists expected
science-daily	NASA’s Roman Space Telescope launches to reveal the Universe’s darkest secrets
science-daily	A massive plume deep beneath Africa is pulling the continent apart
science-daily	Scientists find why the liver may not heal even after you stop drinking
science-daily	Goodbye CPAP? New sleep apnea pill cuts breathing events by 44%
science-daily	A coffee-table-size scorpion roamed Earth before forests existed
science-daily	Interstellar solar sails hit a strange problem at 75% of light speed
science-daily	Money problems may age your brain faster
science-daily	ADHD may have a surprising creative advantage
science-daily	A search for one exotic particle uncovered two strange new structures
science-daily	Alzheimer’s may leave a mark on the brain long before plaques appear
science-daily	Scientists find a human-only gene that may help explain our brainpower
science-daily	Popular sweeteners may leave effects that last for generations
science-daily	HEPA air purifiers may boost brain function after just one month
science-daily	Obesity leaves a lasting memory in immune cells
science-daily	Your neighborhood in your 20s may shape your heart decades later
science-daily	A “quantum bath” puts quantum entanglement on autopilot
science-daily	Scientists challenge a 70-year-old “lizard brain” myth
science-daily	Reaching 90 without dementia doesn’t mean you’re in the clear
science-daily	High blood sugar may help cancer cells hide from the immune system
science-daily	One injection could keep osteoarthritis drugs working for weeks
science-daily	Fossil feet may be misleading scientists about human evolution
science-daily	Hundreds of hidden earthquakes found at Antarctica’s Doomsday Glacier
science-daily	Long-term melatonin use linked to 90% higher heart failure risk
science-daily	Researchers unveil sustainable spirulina solution to vitamin B12 deficiency
science-daily	This strange “spacetime crystal” can suddenly become a black hole
science-daily	Scientists discover diamonds can generate electricity
science-daily	1.4-million-year-old footprints reveal a surprisingly large human relative
science-daily	IBM quantum computer solves classically intractable problem in 15 minutes
science-daily	Common supplements rival antibiotics for severe gum disease
ars-technica	After 8 years, Europe's BepiColombo mission is on final approach to Mercury
ars-technica	OpenAI agents discussed ways to escape their sandbox on public wiki
ars-technica	Measles killed 6-week-old baby, coroner confirms after RFK Jr. disputed deaths
ars-technica	Trump admin fights ABC lawsuit as watchdogs worry Disney will settle with FCC
ars-technica	Medieval manuscripts are "biological time capsules" for deadly sheeppox virus
ars-technica	“Trust, not features, is the real deficit”: VMware tries to appease SMBs
ars-technica	Once popular for attacking AI, ASCII smuggling is embraced by spammers
ars-technica	Pentagon rescinds new testosterone screening policy without explanation
ars-technica	A ratings board wouldn't let Valve release a trailer. It "leaked" it instead.
ars-technica	Second complete map of a fruit fly brain completed
ars-technica	Anthropic’s $2 trillion IPO puts powerful external trustees in spotlight
ars-technica	Musk wins court order to block use of “Twitter,” but not “tweet” and bird logo
ars-technica	Trump White House just tossed a grenade into international space relations
ars-technica	Rocket Report: Engines installed for Artemis III; Long March 6C breakup in LEO
ars-technica	Nearly impossible? How Fairphone built the ethical, repairable Fairphone Gen 6+
ars-technica	Reports: RFK Jr. ordered measles deaths deletion; CDC still secretly counts them
ars-technica	Xbox imposes harsh new time limits for Game Pass game streaming
ars-technica	150 research primates got diarrhea, flooding lab with priceless vaccine data
ars-technica	Confused about which VPN is right, US senator asks the NSA for guidance
ars-technica	Supreme Court urged to let states regulate sports bets on prediction markets
ieee-spectrum	Protecting Dynamic Industrial Robot Cable Carriers
ieee-spectrum	Applying Different Forms of Mentorship
ieee-spectrum	NASA’s Cargo-Moving Robotic Arm Named 300th IEEE Milestone
ieee-spectrum	AI Efficiency Could Cost Us the Next Generation of Experts
ieee-spectrum	IEEE President’s Note: Technology for Social Good
ieee-spectrum	This Teen Helped Native American Students Earn Ham Radio Licenses
ieee-spectrum	The E.U.’s AI Drive Undermines Its ​Own Chip Strategy
ieee-spectrum	The First Battery Was Inspired By a Dead Frog
ieee-spectrum	Noodling on Nuclear Engines
ieee-spectrum	Oscar Winner Brings Monsters to Life With His Simulation Software
ieee-spectrum	Make a Portable Wide-screen Mechanical TV
ieee-spectrum	IEEE Student Conference Provides Visibility to Budding Authors
ieee-spectrum	A New NASA Design Turbocharges Nuclear Spacecraft
ieee-spectrum	IBM Built the Cold War’s Most Powerful Code Breaker for the NSA
ieee-spectrum	AI Companion Robots Are Closing the Human Connection in Modern Homes
ieee-spectrum	IEEE Senior Membership Demystified
ieee-spectrum	What It Takes to Be an Adaptable Engineer
ieee-spectrum	Building Technology People Can Trust
ieee-spectrum	Poetry for Engineers: Safe Distance
ieee-spectrum	This IEEE Senior Member Develops AI Tools for E-Commerce Sites
ieee-spectrum	Stop Hunting, Start Solving: Accelerating Root Cause Analysis with Agentic AI
ieee-spectrum	Gaining Leadership Backing for Your Innovations
ieee-spectrum	IEEE Presidents’ Scholarship Honors Teen Innovators
ieee-spectrum	From AI Copilots to Agent Swarms
ieee-spectrum	Digital Signal Processing Pioneer Bede Liu Dies At 91
ieee-spectrum	Predict Antenna Coupling on Electrically Large Platforms Before Building Hardware
